,posemo,negemo,anx,anger,sad
274219,1.67,6.28,0.42,2.51,0.42
111363,4.47,2.79,0,1.68,0.56
243338,3,5.36,0.21,1.07,1.07
284673,2.42,3.81,0,1.73,0.69
93116,4.44,4.44,0,1.48,0
87163,2.88,1.77,0,0.22,0
221740,3.66,2.62,0,2.09,0
194625,5.59,1.75,0,0,0.35
70299,4.64,0.52,0,0,0.52
207977,7.83,0,0,0,0
56276,1.72,4.48,0,2.41,0
10223,1.06,1.06,0.35,0,0
301321,3.75,4.69,0,1.56,0
109909,7.19,1.8,0,0,0
210238,3.23,4.19,0,0.97,0
33439,4.29,1.9,0,0,0
93843,4.55,0.41,0,0,0
69870,6.17,2.47,0,0.62,0
46663,2.39,4.31,0,2.87,0
226601,3.57,1.19,0,0,0.79
18938,3.27,2.18,0.44,0.22,0
202990,3.49,1.9,0.32,0,0
186631,4.9,1.31,0,0,0
16530,4.62,1.03,0,0,0
224599,3.01,1.13,0,0,0
247764,4.82,0.8,0,0,0
61035,3.23,1.29,0,0,0
229903,1.16,1.16,0,0,0
110690,5.49,1.69,0,0.42,0
38154,0.63,0.63,0,0,0
271598,3.61,2.76,0,0.21,1.7
118583,6.94,3.24,0.46,0.46,0
176266,4.35,3.8,0,0,0.54
222116,4.15,3.11,0,2.07,0.52
94532,2.1,6.99,2.1,2.1,0
274185,3.72,2.33,0,1.86,0
229296,4.52,3.55,0.32,1.29,0
206507,4.66,1.27,0,0,0.42
121128,2.54,0.51,0,0,0
291121,4.14,2.63,0.38,0.75,0
112509,8.04,0,0,0,0
65939,2.39,1.49,0,0,0.3
221153,2.75,0,0,0,0
280951,4.3,1.19,0,0.24,0.24
301320,3.64,6.29,2.65,2.98,0
120342,4.71,1.18,0,0,0
270254,5.64,3.26,0.3,0,0.3
183364,5.82,1.71,0,0,0.68
92221,3.88,1.29,0.43,0,0
40367,3.68,1.95,0.22,0.22,0
30858,3.1,1.38,0,0.34,0.34
76819,3.05,0.61,0,0,0
35934,5.45,0.47,0,0,0
83310,3.35,1.12,0,0,0.74
88245,3.41,1.46,0,0.49,0.49
202826,5,2.5,0,0.36,0.36
84133,4.64,3.31,0,1.32,0.33
43444,5,1.25,0,0.63,0
81707,5.97,1.7,0,0,0.28
273207,5.78,0.58,0,0,0
12812,9.68,1.29,0,0,0
37462,7.91,0,0,0,0
27881,4.61,0,0,0,0
137827,3.63,4.66,0,0,1.55
200941,6.57,1.38,0,0.35,0.35
222510,5.37,4.7,1.34,0.67,0
80627,5.85,4.39,0,3.41,0
215343,7.72,2.37,0,0.3,0
273171,2.66,2.33,0,0.33,0.33
28191,1.95,3.91,0,2.73,0
270444,3.77,3.02,0.38,0.75,0.38
226602,6.38,1.28,0,0.43,0
191616,2.54,5.4,1.43,1.75,0.48
208299,5.51,2.54,0.42,0,0
21638,3.09,3.09,0,2.58,0
96694,5.58,4.78,0,0.4,0.4
10397,1.59,1.91,0,0.64,0
116221,5.12,1.86,0,0.93,0
105507,7.91,1.58,0.4,0,0.4
88119,1.18,1.76,0,0.59,0.59
206049,3.3,2.75,1.1,0.55,0
47797,7.62,4.76,0,3.33,0
49962,4.87,1.62,0.32,0,0.32
60328,3.37,0.48,0,0,0
106973,6.23,2.2,0,0.37,0.37
34989,1.91,2.15,0,0.48,0.24
219627,4.56,0.3,0,0,0
79644,1.8,2.99,0,0,0.6
108793,5.08,3.11,0,0,0
299754,5.49,1.73,0,0,0
158832,1.98,0,0,0,0
97992,4.79,5.48,0,2.05,0
94525,8.81,1.55,0,1.04,0.52
48300,6.9,0.49,0,0,0
95388,6.41,1.28,0,0,0
91844,4.46,0.89,0,0,0
121117,4.64,0,0,0,0
89951,4.71,2.09,0.26,0.26,0.52
96642,5.18,1.04,0,0,0
224772,1.86,2.17,0,0.31,0.31
264418,2.75,5.05,0.69,0.69,0.23
275267,1.47,2.57,0,0,0
245207,6.02,1.93,0,0.48,0
25271,3.17,2.78,0.4,0,0
81538,4.35,5.22,0.87,0,1.74
57618,3.66,6.59,0.73,1.83,0.73
122581,6.83,1.2,0,0.4,0
87161,5.09,2.4,0.6,0.3,0
92578,3.1,3.41,0.31,1.24,0
27880,4.05,1.35,0,0,0
24351,6.82,0.45,0,0,0
46503,3.46,4.33,0.87,2.16,0
238039,3.32,2.58,0.74,0.37,0
27857,4.55,1.82,0,0,0.45
265302,3.47,2.7,0.19,0.39,0.19
223431,4.69,3.29,0,1.41,0.47
108146,8.51,0.71,0,0,0.71
179797,8.64,2.47,0,2.47,0
295793,3.53,3.92,0,0,1.18
231025,9.7,1.69,0,0,1.27
74204,3.56,0,0,0,0
70710,5.17,0,0,0,0
250430,3.01,3.01,0,0,0
130426,2.81,3.37,0,1.12,0
42946,3.9,0.98,0,0,0
19573,5.59,0.62,0,0,0
211875,5.52,3.87,0.55,0,0
283495,7.02,1.75,0,1.17,0
233356,7.62,3.33,0,0.95,0
10219,2.91,0.97,0,0,0.97
93845,3.83,2.55,1.28,0.43,0.85
24157,4.5,0,0,0,0
37117,4.76,1.59,0.26,0,0
208465,5.18,0.52,0,0.52,0
89835,4.17,3.7,0,2.31,0.46
113162,7.51,2.02,0,0.29,0.29
38387,6.54,1.4,0,0.47,0.47
139006,2.87,3.3,0,1.15,0
236399,6.1,3.05,0,0.61,0
61557,6.77,1.2,0,0.4,0
342197,3.04,0.87,0,0.43,0.43
232464,6.28,1.26,0,0,0
100446,6.52,1.09,0,0,0
106037,5.58,1.02,0,0,0
112903,3.88,1.94,0,0.49,0.49
56853,4.31,1.44,0,0,0
213327,7.03,4.32,2.16,0.54,0.54
188815,6.88,2.75,0,0.46,0.46
45184,0.49,6.37,2.45,1.96,0
78577,4.27,1.42,0,0.47,0
184784,4.44,1.67,0,0,0.56
266791,3.14,3.61,0.63,0.94,0.31
90008,4.95,4.4,0.27,0.55,0.27
190726,5.41,2.4,0,1.5,0
57231,1.71,3.42,0,1.71,0
116219,5.81,0,0,0,0
96337,1.33,2.65,0,0.88,0
239242,10.04,0,0,0,0
41692,8.25,2.06,0.52,1.03,0
28142,4.39,0,0,0,0
22335,5.76,2.47,0.41,0,0.41
55156,4.38,1.59,0,1.2,0.4
114624,4.19,2.79,0,0,0
217395,4.61,2.3,0,0.46,0
126872,6.56,3.83,0.55,1.09,0
188343,4.18,1.05,0,0,0
191941,6.56,1.25,0,0.63,0.31
282985,2.93,0.8,0,0.27,0.27
233431,5.68,1.14,0,0.38,0.76
201497,5.69,1.42,0,0,0
207958,7.91,2.26,0,1.13,0
140315,5.46,2.73,0,0,0
7155,3.33,0.95,0,0.48,0
207964,7.64,0.64,0,0.64,0
288714,1.47,5.88,1.47,0.98,0.49
22719,4.76,2.65,0,0.53,0
69268,3,0.5,0,0,0
181978,2.09,2.09,0.26,1.83,0
15837,5.7,1.55,0.52,1.04,0
250343,4.28,2.72,1.17,0,0
87400,6.16,1.45,0,0,0
271366,4.25,4.25,0,0.44,0.73
104741,2.87,1.15,0,0.57,0
131936,7.28,0.97,0.49,0,0
43456,1.99,3.31,0,0.66,0
228561,4.95,0.99,0,0,0
91276,3.55,3.05,1.52,0,1.02
370050,5.67,1.55,0,0.52,0
118354,4.74,1.05,0,0,0.53
78398,4.92,1.84,0,0.41,0.41
367506,4.63,1.16,0,0.77,0
94481,10.08,2.52,0,0.84,0
38019,4.4,1.1,0.37,0,0.37
255205,5.85,3.51,0,1.17,0
33170,5.64,4.1,1.54,0.51,0.51
234406,2.2,2.75,2.2,0,0.55
140317,4.21,1.87,0,0,0
216857,2.87,1.08,0.36,0,0
252998,4.49,3.37,1.69,0.56,0
189856,2.4,2.4,0,1.2,0
130633,3.52,1.32,0,0.44,0
75441,2.11,1.05,0,0,0
275248,6.2,2.55,0.36,0,0
207812,6.76,2.9,0.48,0,0
32681,5.34,2.43,0.49,0,0.49
65068,3.4,1.28,0,0.85,0
327283,5.23,2.09,0.35,0.35,0
79858,5.26,1.21,0,0,0
75938,3.72,1.24,0,0.83,0
98442,3.5,2.5,0,0.5,0.5
267466,3.29,1.84,0.26,0.39,0
102534,7.56,0.98,0.24,0,0
298459,6.12,1.02,0,1.02,0
209354,3.6,3.15,0,1.35,0.45
229090,4.19,3.96,0.22,0.44,0
45186,6.22,4.15,0,0,0.52
258654,2.65,3.64,0.66,0.99,0.33
136647,7.64,0,0,0,0
306700,8.74,0.97,0,0,0
219620,4.45,2.05,0,1.03,0
29920,7.58,1.01,0,0,0
88888,5.45,3.03,0,1.82,0
224238,6.3,3.54,0.39,0.39,0
114419,4.64,3.09,0.52,1.03,0
257771,4.24,2.12,0.35,0.35,0
134252,2.75,1.83,0,0.46,1.38
327282,4.15,2.07,0,0,0.83
219350,5.17,1.03,0,0,0
86494,2.33,1.74,0,1.16,0
28182,6.48,0.93,0,0,0.46
52160,1.66,1.1,0,0,0
102858,4.8,3.67,0,0.28,0
266396,3.16,5.03,0.79,0.1,0.39
30646,6.03,1.29,0,0.43,0
90396,2.14,2.14,0.36,0.71,0
34346,3.17,2.11,0.26,0.79,0.26
24814,2.33,1.16,0,1.16,0
7156,7.96,2.49,0,0.5,0
95205,11.9,0,0,0,0
238567,3.59,3.59,0.45,2.24,0
80620,6.06,1.52,0,0.51,0
24196,5.05,1.01,0,0.34,0
27886,4.64,0.66,0,0,0.66
282560,6.46,5.78,0,3.06,0.68
37459,1.36,2.72,1.36,0.68,0.68
22901,5.26,1.75,0,0.58,0
43469,3.42,3.08,0,0.34,1.03
224370,3.24,3.24,1.21,1.21,0.4
91574,5.26,1.44,0,0,0.48
53609,0.98,5.57,0,1.31,0
113265,2.52,4.2,0,0.84,0.42
272838,4.95,1.98,0.5,0.99,0
83400,3.18,1.36,0,0.45,0
216831,8.29,0.49,0,0.49,0
252097,2.99,2.56,0.43,1.28,0.43
52067,5.7,2.28,0,0.85,0
248024,7.3,0,0,0,0
178163,6.46,0.68,0,0,0
261267,5.88,1.55,0.31,0,0
8404,6.22,0.44,0,0,0
225343,5.81,1.66,0,0,0
96179,4.81,2.88,0,0.96,0
237009,4,4,0.67,0,2
80914,5.96,2.98,0,1.28,0
240915,1.73,4.05,0,4.05,0
290088,4,1.78,0,0.44,0
33089,4.13,1.65,0,0.83,0
224263,6.87,1.72,0.86,0,0
129728,5.46,2.19,0,2.19,0
266938,2.89,4.91,1.13,1.13,0.38
290062,9.33,0.67,0,0.67,0
72017,8.54,1.83,0,0.61,0
73447,2.86,2.14,0.36,0.71,0.36
49903,2.46,3.69,0.25,0,0.25
233939,4.98,5.43,3.17,0.45,0
89266,3.15,2.87,0.29,0.29,0.57
190743,2.26,3.67,0,1.41,0.28
247538,5.31,1.33,0,0,0
133201,1.75,5.26,2.63,1.75,0
22344,7.98,2.45,1.23,0,1.23
135658,4.59,4.13,1.38,0,0
46826,4.52,0.5,0,0,0
193921,4.15,1.55,0,0,0
279373,5.02,2.51,0,0,0.31
46615,3.61,3.01,0.6,1.2,0
220548,5.22,1.87,0,0.75,0.56
98155,3.77,1.37,0.34,0.34,0
93821,4.86,3.82,0,0.69,0
341983,7.69,1.54,0,1.15,0
224869,2.53,2.11,0,0.42,0.42
206376,4.07,1.74,0,0.58,0.58
244623,4.71,4.71,1.09,1.45,0
121759,5.34,1.78,0,0.59,0.3
298774,3.98,1.42,0,0,0.57
110209,4.35,1.98,0,0,1.19
181504,2.08,0.89,0,0,0
50103,1.4,2.34,0.47,0,0
111881,3.45,1.92,0.38,0,0.77
41026,5.94,2.48,0.5,0.5,0.99
124190,3,1.29,0,0,0
41032,3.78,0.42,0,0,0
206606,4.18,1.67,0.42,0,0
259470,3,2.25,0,0,0
130456,6.21,2.48,0,0,0
206148,2.07,1.04,0,0,0
275603,4.02,0.45,0,0,0
100232,5.56,1.59,0,0,0.4
59333,1.49,2.6,0.37,0.37,0
224472,6.54,0.47,0,0,0
262341,7.11,1.52,0.51,0,0.51
245926,5.72,3.01,0,0.3,0
101851,3.47,2.72,0,0.5,0.25
88797,4.17,3.13,0,0,1.04
96595,5.1,0,0,0,0
193894,4.78,1.99,0,0.4,0
259857,2.96,1.48,0,0,0
154449,5.88,2.61,0,1.31,0
60983,2.84,0.71,0,0,0
127470,5.73,2.6,0,1.56,0
159031,4.29,2.86,0,0.36,0.36
199215,4.12,0.59,0,0,0
178941,8.63,1.02,0,0.51,0
81406,3.35,3.35,0,0,0
231453,4.05,0.58,0,0.58,0
100178,5.83,0.83,0,0.42,0
40266,4.94,1.8,0,0.45,0.22
264446,3.43,1.82,0.51,0,0.3
71736,6.88,3.17,0.53,0.53,0
123986,7.88,0.41,0,0,0
31474,2.75,3.53,0.39,0.39,0.78
61531,6.7,0,0,0,0
79356,4.23,1.41,0.7,0,0
216007,4.86,2.34,0,0.36,0.18
213619,0.93,3.26,0,1.4,0
53742,2.99,3.32,0,0,0
222605,4.07,1.74,0.29,0.87,0
96350,1.4,1.86,0,0.93,0
179875,2.58,1.64,0.47,0,0
57295,2.48,1.24,0,0,0
172075,7.28,1.46,0,0,0
19850,7.39,0.43,0,0.43,0
60405,8.85,0.38,0,0,0
259260,5.5,2,0.75,0.25,0
45860,5.82,2.12,0,1.06,0
125676,2.07,0.41,0,0,0
172048,8.11,1.08,0,0,0.54
172060,6.6,0.47,0,0,0
24508,6.25,1.25,0,0,0
47939,4.07,4.07,0,2.03,0
57294,7.07,1.63,0,0,0.54
127908,8.33,0.69,0,0,0
258802,3.83,1.09,0,0,0.55
187566,4.41,1.84,0,1.1,0.37
27798,2.07,1.18,0,0,0
251826,2.83,3.64,0.81,0.4,0
203806,3.29,3.29,0,0.3,0.15
103114,7.69,2.37,0,0,0.3
125845,4.31,1.44,0,0,0
190740,2.95,5.54,3.69,0,0
66505,4.56,1.9,0,1.52,0.38
74101,7.69,4.14,0,0.59,0
74115,1.99,2.99,0,0.5,0
241638,2.05,1.23,0,0,0.82
127539,5,2.5,0,1.5,0
251417,3.35,5.59,3.91,0.56,0
26690,7.47,2.27,0,0.65,0
227556,5.49,0.84,0,0.84,0
53233,9.47,2.07,0,0,0
91166,5.56,1.71,0,0,0
76104,3.78,1.68,0.84,0.84,0
254427,5.16,4.52,0.65,2.58,0.65
208416,4.98,1.99,0,1.33,0
210259,2.04,3.39,0,0.9,0
102168,0.74,2.95,0.37,1.11,0
92533,5.26,5.26,0.75,0.75,0
97463,6.69,2.03,0.29,0.87,0
220832,4.46,1.79,0.45,0,0.45
288766,4.32,1.51,0,0.22,0.86
224498,1.94,3.87,0,0.65,0.32
15138,4.55,1.3,0,1.3,0
50302,7.91,3.26,0,1.4,0.93
34684,5.97,2.49,0,0.5,0
43342,4.4,0.8,0.4,0,0
367576,2.88,1.31,0,0.26,0.79
210098,3.81,2.86,0.48,0,0.95
102424,3.83,3.83,0,0.77,0
112169,5.51,2.76,1.18,0.39,0.79
50306,5.12,1.4,0.47,0.47,0
102408,1.57,1.05,0,0,0
277991,4.96,2.84,1.42,0,0
268127,4.17,3.85,2.24,0.32,0.64
40129,4.08,2.55,0.51,0,0
167521,6.75,2.38,1.19,0.4,0.4
79019,7.59,1.9,0.63,0,0
88792,5.84,1.17,0,0,0
535523,6.78,0.34,0,0,0
16145,3.7,1.39,0,0.46,0
111104,5.96,0.33,0,0,0
128949,8.22,0.68,0,0,0.34
81563,8,1,0.5,0,0.5
244817,5.06,3.8,0,1.69,0
112425,4.75,1.27,0,0,0
224649,7.66,2.55,0.85,1.28,0
91002,2.03,4.88,0,3.25,0
227426,4.74,1.98,0.4,0.4,0
128752,4.55,2.73,0,0,0
274917,2.31,0.93,0,0,0
33312,5.63,3.13,0,0,0.63
80866,5.59,3.35,0,0.56,0.56
255852,4.53,1.13,0,0.75,0
92331,3.33,4.44,1.11,0.37,0
221137,6.09,1.52,0.51,0,0
112223,5.13,1.03,0,0,0
81371,5.86,2.25,0.45,1.35,0.45
96194,7.37,0.53,0,0,0
243981,7.06,5,0,0.88,0
241172,1.62,4.32,2.16,0,1.08
33272,5.56,1.01,0,0.51,0
10124,2.53,2.89,0.36,1.08,0
224271,4.64,2.65,0,0,0.66
81615,4.3,3.23,1.61,0,0
121400,4.09,2.73,0,0.45,0
205268,5.51,2.36,0,0,0
158855,7.34,0.56,0,0,0
60428,3.76,1.41,0,0.94,0
229967,7.82,0.56,0,0,0
41381,7.89,1.32,0.44,0,0
255338,1.97,3.45,0,0,0
125698,2.09,2.09,0.42,0.42,1.26
97076,3.26,4.01,0,1.75,0
136196,5.6,1.49,0,0,0.37
273314,3.17,1.06,0,0,0.53
239235,8.49,0.47,0,0,0
23289,5.7,0.32,0,0,0
125868,3.83,0.55,0,0,0
188122,3.47,1.16,0,0,0
61247,4.66,0.52,0,0,0
46808,3.24,1.08,0,0.54,0
241629,4.93,2.82,0,0,0.35
137920,5.11,2.27,0,0.57,0
268536,4.89,3.67,0,0.61,0.92
188334,4.33,1.92,0.48,0,0
220200,4.9,2.86,0,1.22,0
207867,2.27,0,0,0,0
21844,5.84,0.73,0,0.73,0
187775,5.21,0.98,0,0.33,0
239180,3.23,1.61,0.54,0.54,0
100961,5.29,0.96,0,0,0
215318,2.91,2.91,0,0,0
292277,4.07,4.07,0,1.16,0
224648,3.09,1.93,1.16,0.39,0
252912,4.29,1.65,0.66,0.66,0
244180,7.14,2.23,0,0,0.89
80640,3.45,4.02,0.57,1.72,0
110794,4.09,2.92,1.75,0,0.58
272817,5.1,1.7,0.28,0,0
62438,5.62,4.82,0.4,0,0.4
238063,3.28,2.69,0,1.19,0.3
256976,4.07,1.36,0.45,0,0
50307,5.76,1.57,0,1.05,0
225768,2.56,1.6,0,0.32,0.32
22785,5.66,1.89,0,0.75,0.75
272624,4.37,3.49,0.22,0.22,0.44
84140,6.4,4.07,0.58,0.58,0.58
56006,3.2,5.02,0.46,2.28,0.46
273510,4.17,1.28,0,0.64,0
101880,4.44,3.95,0,2.47,0
286943,5.24,2.62,0,2.25,0
223333,5.94,1.49,0,0.5,0
220809,3.61,4.82,0,3.61,0
34640,5.75,2.46,0,0,0
88791,2.33,3.72,0,0.93,0
126542,3.39,4.66,0,1.69,0
116481,5.26,1.46,0,0,0.29
237385,2.32,3.31,0.33,1.99,0
195575,3.88,2.59,0,1.72,0
75393,2.89,2.48,0,0.41,0
110543,5.21,1.9,0,0.47,0.47
92291,4.82,2.63,0.44,0,0.44
228925,3.14,1.96,0.39,0.39,0
341763,3.67,1.13,0.28,0,0
102184,4.5,3.79,0.24,0.71,0.71
40260,4.76,1.5,0,0.38,0.13
236306,2.33,1.74,1.16,0,0
99501,4.18,4.18,0,2.09,0.35
103311,5.12,1.37,0,0,0
201582,2.93,2.51,0.42,1.26,0.42
180971,2.73,1.09,0,0,0
207118,7.8,2.29,0,0.46,0
30036,2.35,1.18,0,0.59,0.59
97289,5.31,1.63,0,0,0
193514,5.14,3.43,0,1.14,0
95887,7.19,0,0,0,0
186643,5.26,2.63,0,1.13,0.75
29771,3.28,1.82,0,0,0.36
257277,3.53,3.29,0,0.47,0.24
125895,3.85,0.64,0,0,0
29758,6.87,3.82,0,0.76,0.38
97908,6.11,0,0,0,0
121358,4.94,2.03,0.58,0,0
60402,4.6,0.57,0.57,0,0
